dateTime,usUnits,interval,barometer,pressure,altimeter,inTemp,outTemp,inHumidity,outHumidity,windSpeed,windDir,windGust,windGustDir,rainRate,rain,dewpoint,windchill,heatindex,ET,radiation
1415491020,1,1,29.772,28.4900205106,29.7231454322,75.6,46.6,31,86,0,,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415491080,1,1,29.771,28.4890635705,29.7221548408,75.6,46.6,31,86,0,,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415491140,1,1,29.77,28.4881066304,29.7211642491,75.6,46.6,31,86,1,67.5,2,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415491200,1,1,29.77,28.4881066304,29.7211642491,75.6,46.6,30,86,1,67.5,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415491260,1,1,29.771,28.4890635705,29.7221548408,75.6,46.6,30,86,1,67.5,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415491320,1,1,29.77,28.4881249465,29.7211832094,75.6,46.7,31,86,2,67.5,2,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491380,1,1,29.77,28.4881249465,29.7211832094,75.6,46.7,30,86,1,67.5,2,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491440,1,1,29.769,28.4871680058,29.7201926169,75.6,46.7,30,86,0,,1,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491500,1,1,29.77,28.4881249465,29.7211832094,75.6,46.7,30,86,1,67.5,2,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491560,1,1,29.771,28.4890818872,29.7221738016,75.6,46.7,30,86,1,67.5,2,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491620,1,1,29.771,28.4890818872,29.7221738016,75.6,46.7,30,86,1,67.5,2,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491680,1,1,29.771,28.4890818872,29.7221738016,75.6,46.7,30,86,1,67.5,1,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491740,1,1,29.772,28.4900388279,29.7231643937,75.6,46.7,30,86,1,67.5,2,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491800,1,1,29.771,28.4890818872,29.7221738016,75.6,46.7,30,86,1,67.5,2,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491860,1,1,29.77,28.4881249465,29.7211832094,75.6,46.7,31,86,0,,1,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491920,1,1,29.769,28.4871680058,29.7201926169,75.6,46.7,30,86,1,67.5,2,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415491980,1,1,29.769,28.4871680058,29.7201926169,75.6,46.7,30,86,1,67.5,1,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415492040,1,1,29.769,28.4871680058,29.7201926169,75.6,46.7,30,86,0,,2,67.5,0,0,42.7380219942,46.7,46.7,0,0
1415492100,1,1,29.77,28.4881249465,29.7211832094,75.6,46.7,30,86,0,,0,,0,0,42.7380219942,46.7,46.7,0,0
1415492160,1,1,29.77,28.4881249465,29.7211832094,75.6,46.7,30,86,0,,0,,0,0,42.7380219942,46.7,46.7,0,0
1415492220,1,1,29.772,28.4900388279,29.7231643937,75.6,46.7,30,86,0,,0,,0,0,42.7380219942,46.7,46.7,0,0
1415492280,1,1,29.771,28.4890635705,29.7221548408,75.6,46.6,30,86,0,,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415492340,1,1,29.772,28.4900205106,29.7231454322,75.6,46.6,30,86,2,67.5,2,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415492400,1,1,29.772,28.4900205106,29.7231454322,75.6,46.6,30,86,1,67.5,2,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415492460,1,1,29.771,28.4890635705,29.7221548408,75.6,46.6,30,86,1,67.5,2,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415492520,1,1,29.771,28.4890635705,29.7221548408,75.6,46.6,30,86,0,,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415492580,1,1,29.772,28.4900205106,29.7231454322,75.6,46.6,30,86,0,,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415492640,1,1,29.772,28.4900205106,29.7231454322,75.6,46.6,30,86,0,,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415492700,1,1,29.773,28.4901848982,29.7233156006,75.6,46.5,30,86,0,,0,,0,0,42.5415861339,46.5,46.5,0,0
1415492760,1,1,29.772,28.4892279847,29.7223250367,75.6,46.5,30,86,0,,1,67.5,0,0,42.5415861339,46.5,46.5,0,0
1415492820,1,1,29.772,28.4892279847,29.7223250367,75.6,46.5,30,86,0,,1,67.5,0,0,42.5415861339,46.5,46.5,0,0
1415492880,1,1,29.772,28.4892279847,29.7223250367,75.6,46.5,30,86,0,,1,67.5,0,0,42.5415861339,46.5,46.5,0,0
1415492940,1,1,29.772,28.4900205106,29.7231454322,75.6,46.6,30,86,1,67.5,2,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415493000,1,1,29.772,28.4900205106,29.7231454322,75.8,46.6,30,86,0,,0,,0,0,42.6398042627,46.6,46.6,0,0
1415493060,1,1,29.772,28.4900205106,29.7231454322,75.8,46.6,30,86,0,,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415493120,1,1,29.774,28.4919343908,29.7251266144,75.8,46.6,30,86,0,,1,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415493180,1,1,29.774,28.4919343908,29.7251266144,75.8,46.6,30,86,1,67.5,2,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415493240,1,1,29.774,28.4919343908,29.7251266144,75.8,46.6,30,86,2,67.5,2,67.5,0,0,42.6398042627,46.6,46.6,0,0
1415493300,1,1,29.774,28.4919343908,29.7251266144,75.8,46.6,30,86,2,337.5,3,315,0,0,42.6398042627,46.6,46.6,0,0
1415493360,1,1,29.775,28.4928913309,29.7261172051,75.8,46.6,30,86,1,315,3,315,0,0,42.6398042627,46.6,46.6,0,0
1415493420,1,1,29.774,28.4919527094,29.7251455771,75.8,46.7,30,86,0,,1,315,0,0,42.7380219942,46.7,46.7,0,0
1415493480,1,1,29.772,28.4900388279,29.7231643937,75.8,46.7,30,86,0,,0,,0,0,42.7380219942,46.7,46.7,0,0
1415493540,1,1,29.774,28.4919527094,29.7251455771,75.8,46.7,30,86,0,,2,315,0,0,42.7380219942,46.7,46.7,0,0
1415493600,1,1,29.773,28.4910141471,29.7241740103,75.8,46.8,30,86,1,337.5,1,315,0,0,42.8362393284,46.8,46.8,0,0
1415493660,1,1,29.774,28.4919710885,29.7251646026,75.8,46.8,30,86,1,337.5,2,337.5,0,0,42.8362393284,46.8,46.8,0,0
1415493720,1,1,29.773,28.4909573242,29.7241151892,75.8,46.8,30,85,0,,1,112.5,0,0,42.5318207413,46.8,46.8,0,0
1415493780,1,1,29.774,28.4919142637,29.7251057795,75.8,46.8,30,85,0,,0,,0,0,42.5318207413,46.8,46.8,0,0
1415493840,1,1,29.775,28.4928712031,29.7260963696,75.8,46.8,30,85,0,,1,112.5,0,0,42.5318207413,46.8,46.8,0,0
1415493900,1,1,29.773,28.4909573242,29.7241151892,75.8,46.8,30,85,0,,1,112.5,0,0,42.5318207413,46.8,46.8,0,0
1415493960,1,1,29.773,28.4909573242,29.7241151892,75.8,46.8,30,85,0,,0,,0,0,42.5318207413,46.8,46.8,0,0
1415494020,1,1,29.774,28.4919142637,29.7251057795,75.8,46.8,30,85,0,,0,,0,0,42.5318207413,46.8,46.8,0,0
1415494080,1,1,29.773,28.4909391579,29.724096384,75.8,46.7,30,85,0,,0,,0,0,42.4337396539,46.7,46.7,0,0
1415494140,1,1,29.774,28.4918960967,29.7250869737,75.8,46.7,30,85,0,,0,,0,0,42.4337396539,46.7,46.7,0,0
1415494200,1,1,29.773,28.4909391579,29.724096384,75.8,46.7,30,85,0,,1,112.5,0,0,42.4337396539,46.7,46.7,0,0
1415494260,1,1,29.773,28.4909391579,29.724096384,75.8,46.7,30,85,0,,1,112.5,0,0,42.4337396539,46.7,46.7,0,0
1415494320,1,1,29.774,28.4918960967,29.7250869737,75.8,46.7,30,85,1,112.5,2,112.5,0,0,42.4337396539,46.7,46.7,0,0
1415494380,1,1,29.773,28.4909391579,29.724096384,75.8,46.7,30,85,1,112.5,1,112.5,0,0,42.4337396539,46.7,46.7,0,0
1415494440,1,1,29.773,28.4909391579,29.724096384,75.8,46.7,30,85,1,112.5,2,112.5,0,0,42.4337396539,46.7,46.7,0,0
1415494500,1,1,29.772,28.489982219,29.7231057941,75.8,46.7,30,85,0,,1,112.5,0,0,42.4337396539,46.7,46.7,0,0
1415494560,1,1,29.773,28.4909210513,29.7240776407,75.8,46.6,30,85,0,,1,112.5,0,0,42.3356581392,46.6,46.6,0,0
1415494620,1,1,29.773,28.4909210513,29.7240776407,75.8,46.6,30,85,0,,0,,0,0,42.3356581392,46.6,46.6,0,0
1415494680,1,1,29.773,28.4909210513,29.7240776407,75.8,46.6,30,85,0,,1,112.5,0,0,42.3356581392,46.6,46.6,0,0
1415494740,1,1,29.773,28.4901286416,29.7232573657,75.8,46.5,30,85,0,,1,112.5,0,0,42.2375761972,46.5,46.5,0,0
1415494800,1,1,29.772,28.48917173,29.7222668038,75.8,46.5,30,85,0,,0,,0,0,42.2375761972,46.5,46.5,0,0
